;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 9/11/2011 11:05:21 AM
;----------------------------------------------

;Address Opcode 	ASM
0x0288	0x003B93B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,36 :: 		
0x028C	0xFA20    	BST        R2, 0
0x028E	0x003B91B0  	LDS        R27, LCD_D4+0
0x0292	0xF9B4    	BLD        R27, 4
0x0294	0x003B93B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,38 :: 		
0x0298	0x00E991B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x029C	0x003B9000  	LDS        R0, LCD_RS+0
0x02A0	0x94E8    	CLT
0x02A2	0xFFB0    	SBRS       R27, 0
0x02A4	0x9468    	SET
0x02A6	0xF802    	BLD        R0, 2
0x02A8	0x003B9200  	STS        LCD_RS+0, R0
;__Lib_Lcd.c,40 :: 		
0x02AC	0x003B91B0  	LDS        R27, LCD_EN+0
0x02B0	0x60B8    	SBR        R27, 8
0x02B2	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,41 :: 		
0x02B6	0xDF02    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,42 :: 		
0x02B8	0x003B91B0  	LDS        R27, LCD_EN+0
0x02BC	0x7FB7    	CBR        R27, 8
0x02BE	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,44 :: 		
0x02C2	0x00E991B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x02C6	0xFFB0    	SBRS       R27, 0
0x02C8	0xC002    	RJMP       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x02CA	0xDEFD    	RCALL      _Delay_5500us+0
0x02CC	0xC001    	RJMP       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x02CE	0xDEC2    	RCALL      _Delay_50us+0
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x02D0	0x9508    	RET
; end of _Lcd_Cmd
_Delay_50us:
;__Lib_Delays.c,18 :: 		void Delay_50us() {
;__Lib_Delays.c,19 :: 		Delay_us(50);
0x0054	0xE012    	LDI        R17, lo_addr(R2)
0x0056	0xE009    	LDI        R16, lo_addr(R9)
L_Delay_50us6:
0x0058	0x950A    	DEC        R16
0x005A	0xF7F1    	BRNE       L_Delay_50us6
0x005C	0x951A    	DEC        R17
0x005E	0xF7E1    	BRNE       L_Delay_50us6
;__Lib_Delays.c,20 :: 		}
L_end_Delay_50us:
0x0060	0x9508    	RET
; end of _Delay_50us
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x0180	0x922F    	PUSH       R2
0x0182	0xC00F    	RJMP       L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x0184	0xE8B0    	LDI        R27, 128
0x0186	0x2E2B    	MOV        R2, R27
0x0188	0xC019    	RJMP       L_Lcd_Out12
;__Lib_Lcd.c,189 :: 		
L_Lcd_Out14:
0x018A	0xECB0    	LDI        R27, 192
0x018C	0x2E2B    	MOV        R2, R27
0x018E	0xC016    	RJMP       L_Lcd_Out12
;__Lib_Lcd.c,190 :: 		
L_Lcd_Out15:
0x0190	0xE9B4    	LDI        R27, 148
0x0192	0x2E2B    	MOV        R2, R27
0x0194	0xC013    	RJMP       L_Lcd_Out12
;__Lib_Lcd.c,191 :: 		
L_Lcd_Out16:
0x0196	0xEDB4    	LDI        R27, 212
0x0198	0x2E2B    	MOV        R2, R27
0x019A	0xC010    	RJMP       L_Lcd_Out12
;__Lib_Lcd.c,192 :: 		
L_Lcd_Out17:
0x019C	0xE8B0    	LDI        R27, 128
0x019E	0x2E2B    	MOV        R2, R27
;__Lib_Lcd.c,193 :: 		
0x01A0	0xC00D    	RJMP       L_Lcd_Out12
L_Lcd_Out11:
0x01A2	0xE0B1    	LDI        R27, 1
0x01A4	0x162B    	CP         R2, R27
0x01A6	0xF371    	BREQ       L_Lcd_Out13
L__Lcd_Out35:
0x01A8	0xE0B2    	LDI        R27, 2
0x01AA	0x162B    	CP         R2, R27
0x01AC	0xF371    	BREQ       L_Lcd_Out14
L__Lcd_Out36:
0x01AE	0xE0B3    	LDI        R27, 3
0x01B0	0x162B    	CP         R2, R27
0x01B2	0xF371    	BREQ       L_Lcd_Out15
L__Lcd_Out37:
0x01B4	0xE0B4    	LDI        R27, 4
0x01B6	0x162B    	CP         R2, R27
0x01B8	0xF371    	BREQ       L_Lcd_Out16
L__Lcd_Out38:
0x01BA	0xCFF0    	RJMP       L_Lcd_Out17
L_Lcd_Out12:
;__Lib_Lcd.c,194 :: 		
0x01BC	0x2D03    	MOV        R16, R3
0x01BE	0x5001    	SUBI       R16, 1
0x01C0	0x0D02    	ADD        R16, R2
0x01C2	0x2E20    	MOV        R2, R16
;__Lib_Lcd.c,196 :: 		
0x01C4	0x2E20    	MOV        R2, R16
0x01C6	0xD023    	RCALL      _Lcd_Cmd+0
;__Lib_Lcd.c,197 :: 		
0x01C8	0x00E991B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x01CC	0x7FBE    	CBR        R27, 1
0x01CE	0x00E993B0  	STS        __Lib_Lcd_cmd_status+0, R27
;__Lib_Lcd.c,198 :: 		
; i start address is: 17 (R17)
; i start address is: 17 (R17)
0x01D2	0xE010    	LDI        R17, 0
; i end address is: 17 (R17)
; i end address is: 17 (R17)
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
; i start address is: 17 (R17)
0x01D4	0x2FE1    	MOV        R30, R17
0x01D6	0xE0F0    	LDI        R31, 0
0x01D8	0x0DE4    	ADD        R30, R4
0x01DA	0x1DF5    	ADC        R31, R5
0x01DC	0x8100    	LD         R16, Z
0x01DE	0x2300    	TST        R16
0x01E0	0xF079    	BREQ       L_Lcd_Out19
L__Lcd_Out39:
;__Lib_Lcd.c,200 :: 		
0x01E2	0x2FE1    	MOV        R30, R17
0x01E4	0xE0F0    	LDI        R31, 0
0x01E6	0x0DE4    	ADD        R30, R4
0x01E8	0x1DF5    	ADC        R31, R5
0x01EA	0x8100    	LD         R16, Z
0x01EC	0x931F    	PUSH       R17
0x01EE	0x922F    	PUSH       R2
0x01F0	0x2E20    	MOV        R2, R16
0x01F2	0xDF37    	RCALL      _Lcd_Chr_CP+0
0x01F4	0x902F    	POP        R2
0x01F6	0x911F    	POP        R17
0x01F8	0x2F01    	MOV        R16, R17
0x01FA	0x5F0F    	SUBI       R16, 255
0x01FC	0x2F10    	MOV        R17, R16
; i end address is: 17 (R17)
0x01FE	0xCFEA    	RJMP       L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x0200	0x00E991B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x0204	0x60B1    	SBR        R27, 1
0x0206	0x00E993B0  	STS        __Lib_Lcd_cmd_status+0, R27
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x020A	0x902F    	POP        R2
0x020C	0x9508    	RET
; end of _Lcd_Out
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x0062	0x00E991B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x0066	0x7FBE    	CBR        R27, 1
0x0068	0x00E993B0  	STS        __Lib_Lcd_cmd_status+0, R27
;__Lib_Lcd.c,53 :: 		
0x006C	0xD0D0    	RCALL      _Lcd_Cmd+0
;__Lib_Lcd.c,54 :: 		
0x006E	0x00E991B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x0072	0x60B1    	SBR        R27, 1
0x0074	0x00E993B0  	STS        __Lib_Lcd_cmd_status+0, R27
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x0078	0x9508    	RET
; end of _Lcd_Chr_CP
_RemoteInit:
;remote.c,311 :: 		void RemoteInit()
;remote.c,314 :: 		for(i=0;i<4;i++)
; i start address is: 18 (R18)
; i start address is: 18 (R18)
0x0500	0xE020    	LDI        R18, 0
; i end address is: 18 (R18)
; i end address is: 18 (R18)
L_RemoteInit56:
; i start address is: 18 (R18)
0x0502	0x3024    	CPI        R18, 4
0x0504	0xF460    	BRSH       L_RemoteInit57
L__RemoteInit128:
;remote.c,316 :: 		IrData[i]=0;
0x0506	0xEE02    	LDI        R16, lo_addr(_IrData+0)
0x0508	0xE010    	LDI        R17, hi_addr(_IrData+0)
0x050A	0x2FE2    	MOV        R30, R18
0x050C	0xE0F0    	LDI        R31, 0
0x050E	0x0FE0    	ADD        R30, R16
0x0510	0x1FF1    	ADC        R31, R17
0x0512	0xE0B0    	LDI        R27, 0
0x0514	0x83B0    	ST         Z, R27
;remote.c,314 :: 		for(i=0;i<4;i++)
0x0516	0x2F02    	MOV        R16, R18
0x0518	0x5F0F    	SUBI       R16, 255
0x051A	0x2F20    	MOV        R18, R16
;remote.c,317 :: 		}
; i end address is: 18 (R18)
0x051C	0xCFF2    	RJMP       L_RemoteInit56
L_RemoteInit57:
;remote.c,318 :: 		State=IR_HIGH;
0x051E	0xE0B0    	LDI        R27, 0
0x0520	0x00E693B0  	STS        _State+0, R27
;remote.c,319 :: 		Edge=0;
0x0524	0xE0B0    	LDI        R27, 0
0x0526	0x00E193B0  	STS        _Edge+0, R27
;remote.c,323 :: 		TCCR0|=((1<<CS00)|(1<<WGM01));//Prescaler : Fcpu   Mode : CTC
0x052A	0xB703    	IN         R16, TCCR0+0
0x052C	0x6009    	ORI        R16, 9
0x052E	0xBF03    	OUT        TCCR0+0, R16
;remote.c,324 :: 		TIMSK|=(1<<OCIE0);            //Enable Output Compare Interrupt
0x0530	0xB7B9    	IN         R27, TIMSK+0
0x0532	0x60B2    	SBR        R27, 2
0x0534	0xBFB9    	OUT        TIMSK+0, R27
;remote.c,325 :: 		OCR0=TIMER_COMP_VAL;          //Set Compare Value
0x0536	0xEAB0    	LDI        R27, 160
0x0538	0xBFBC    	OUT        OCR0+0, R27
;remote.c,328 :: 		MCUCR|=(1<<ISC01);           //INT ON Falling Edge
0x053A	0xB705    	IN         R16, MCUCR+0
0x053C	0x6002    	ORI        R16, 2
0x053E	0xBF05    	OUT        MCUCR+0, R16
;remote.c,329 :: 		GICR|=(1<<INT0);             //Enable INT0
0x0540	0xB70B    	IN         R16, GICR+0
0x0542	0x6400    	ORI        R16, 64
0x0544	0xBF0B    	OUT        GICR+0, R16
;remote.c,332 :: 		SREG_I_bit = 1;
0x0546	0xB7BF    	IN         R27, SREG_I_bit+0
0x0548	0x68B0    	SBR        R27, 128
0x054A	0xBFBF    	OUT        SREG_I_bit+0, R27
;remote.c,333 :: 		}
L_end_RemoteInit:
0x054C	0x9508    	RET
; end of _RemoteInit
_GetRemoteCmd:
;remote.c,347 :: 		unsigned char GetRemoteCmd(char wait)
;remote.c,351 :: 		if(wait)
0x0144	0x2022    	TST        R2
0x0146	0xF031    	BREQ       L_GetRemoteCmd62
L__GetRemoteCmd132:
;remote.c,352 :: 		while(Data_receive == 0);
L_GetRemoteCmd63:
0x0148	0x00719100  	LDS        R16, _Data_receive+0
0x014C	0x3000    	CPI        R16, 0
0x014E	0xF409    	BRNE       L_GetRemoteCmd64
L__GetRemoteCmd133:
0x0150	0xCFFB    	RJMP       L_GetRemoteCmd63
L_GetRemoteCmd64:
0x0152	0xC006    	RJMP       L_GetRemoteCmd65
L_GetRemoteCmd62:
;remote.c,355 :: 		if(Data_receive == 0)
0x0154	0x00719100  	LDS        R16, _Data_receive+0
0x0158	0x3000    	CPI        R16, 0
0x015A	0xF411    	BRNE       L_GetRemoteCmd66
L__GetRemoteCmd134:
;remote.c,356 :: 		return (RC_NONE);
0x015C	0xEF0F    	LDI        R16, 255
0x015E	0xC009    	RJMP       L_end_GetRemoteCmd
L_GetRemoteCmd66:
;remote.c,357 :: 		}
L_GetRemoteCmd65:
;remote.c,358 :: 		cmd=IrData[2];
; cmd start address is: 17 (R17)
0x0160	0x00E49110  	LDS        R17, _IrData+2
;remote.c,359 :: 		Data_receive = 0;
0x0164	0xE0B0    	LDI        R27, 0
0x0166	0x007193B0  	STS        _Data_receive+0, R27
;remote.c,360 :: 		ResetIR();
0x016A	0x931F    	PUSH       R17
0x016C	0xDF86    	RCALL      _ResetIR+0
0x016E	0x911F    	POP        R17
;remote.c,361 :: 		return cmd;
0x0170	0x2F01    	MOV        R16, R17
; cmd end address is: 17 (R17)
;remote.c,362 :: 		}
L_end_GetRemoteCmd:
0x0172	0x9508    	RET
; end of _GetRemoteCmd
_ResetIR:
;remote.c,335 :: 		void ResetIR()
;remote.c,338 :: 		for(i=0;i<4;i++) IrData[i]=0;
; i start address is: 18 (R18)
; i start address is: 18 (R18)
0x007A	0xE020    	LDI        R18, 0
; i end address is: 18 (R18)
; i end address is: 18 (R18)
L_ResetIR59:
; i start address is: 18 (R18)
0x007C	0x3024    	CPI        R18, 4
0x007E	0xF460    	BRSH       L_ResetIR60
L__ResetIR130:
0x0080	0xEE02    	LDI        R16, lo_addr(_IrData+0)
0x0082	0xE010    	LDI        R17, hi_addr(_IrData+0)
0x0084	0x2FE2    	MOV        R30, R18
0x0086	0xE0F0    	LDI        R31, 0
0x0088	0x0FE0    	ADD        R30, R16
0x008A	0x1FF1    	ADC        R31, R17
0x008C	0xE0B0    	LDI        R27, 0
0x008E	0x83B0    	ST         Z, R27
0x0090	0x2F02    	MOV        R16, R18
0x0092	0x5F0F    	SUBI       R16, 255
0x0094	0x2F20    	MOV        R18, R16
; i end address is: 18 (R18)
0x0096	0xCFF2    	RJMP       L_ResetIR59
L_ResetIR60:
;remote.c,339 :: 		State=IR_HIGH;
0x0098	0xE0B0    	LDI        R27, 0
0x009A	0x00E693B0  	STS        _State+0, R27
;remote.c,341 :: 		MCUCR&=(~((1<<ISC01)|(1<<ISC00)));
0x009E	0xB705    	IN         R16, MCUCR+0
0x00A0	0x7F0C    	ANDI       R16, 252
0x00A2	0xBF05    	OUT        MCUCR+0, R16
;remote.c,342 :: 		MCUCR|=(1<<ISC01);
0x00A4	0xB7B5    	IN         R27, MCUCR+0
0x00A6	0x60B2    	SBR        R27, 2
0x00A8	0xBFB5    	OUT        MCUCR+0, R27
;remote.c,343 :: 		Edge=0;
0x00AA	0xE0B0    	LDI        R27, 0
0x00AC	0x00E193B0  	STS        _Edge+0, R27
;remote.c,344 :: 		Time=0;
0x00B0	0xE0B0    	LDI        R27, 0
0x00B2	0x009293B0  	STS        _Time+0, R27
0x00B6	0x009393B0  	STS        _Time+1, R27
;remote.c,345 :: 		}
L_end_ResetIR:
0x00BA	0x9508    	RET
; end of _ResetIR
_Lcd_Chr:
;__Lib_Lcd.c,65 :: 		
;__Lib_Lcd.c,66 :: 		
0x00D6	0x922F    	PUSH       R2
0x00D8	0xC00F    	RJMP       L_Lcd_Chr4
;__Lib_Lcd.c,67 :: 		
L_Lcd_Chr6:
0x00DA	0xE8B0    	LDI        R27, 128
0x00DC	0x2E2B    	MOV        R2, R27
0x00DE	0xC019    	RJMP       L_Lcd_Chr5
;__Lib_Lcd.c,68 :: 		
L_Lcd_Chr7:
0x00E0	0xECB0    	LDI        R27, 192
0x00E2	0x2E2B    	MOV        R2, R27
0x00E4	0xC016    	RJMP       L_Lcd_Chr5
;__Lib_Lcd.c,69 :: 		
L_Lcd_Chr8:
0x00E6	0xE9B4    	LDI        R27, 148
0x00E8	0x2E2B    	MOV        R2, R27
0x00EA	0xC013    	RJMP       L_Lcd_Chr5
;__Lib_Lcd.c,70 :: 		
L_Lcd_Chr9:
0x00EC	0xEDB4    	LDI        R27, 212
0x00EE	0x2E2B    	MOV        R2, R27
0x00F0	0xC010    	RJMP       L_Lcd_Chr5
;__Lib_Lcd.c,71 :: 		
L_Lcd_Chr10:
0x00F2	0xE8B0    	LDI        R27, 128
0x00F4	0x2E2B    	MOV        R2, R27
;__Lib_Lcd.c,72 :: 		
0x00F6	0xC00D    	RJMP       L_Lcd_Chr5
L_Lcd_Chr4:
0x00F8	0xE0B1    	LDI        R27, 1
0x00FA	0x162B    	CP         R2, R27
0x00FC	0xF371    	BREQ       L_Lcd_Chr6
L__Lcd_Chr29:
0x00FE	0xE0B2    	LDI        R27, 2
0x0100	0x162B    	CP         R2, R27
0x0102	0xF371    	BREQ       L_Lcd_Chr7
L__Lcd_Chr30:
0x0104	0xE0B3    	LDI        R27, 3
0x0106	0x162B    	CP         R2, R27
0x0108	0xF371    	BREQ       L_Lcd_Chr8
L__Lcd_Chr31:
0x010A	0xE0B4    	LDI        R27, 4
0x010C	0x162B    	CP         R2, R27
0x010E	0xF371    	BREQ       L_Lcd_Chr9
L__Lcd_Chr32:
0x0110	0xCFF0    	RJMP       L_Lcd_Chr10
L_Lcd_Chr5:
;__Lib_Lcd.c,74 :: 		
0x0112	0x2D03    	MOV        R16, R3
0x0114	0x5001    	SUBI       R16, 1
0x0116	0x0D02    	ADD        R16, R2
0x0118	0x2E20    	MOV        R2, R16
;__Lib_Lcd.c,76 :: 		
0x011A	0x00E991B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x011E	0x60B1    	SBR        R27, 1
0x0120	0x00E993B0  	STS        __Lib_Lcd_cmd_status+0, R27
;__Lib_Lcd.c,77 :: 		
0x0124	0x2E20    	MOV        R2, R16
0x0126	0xD073    	RCALL      _Lcd_Cmd+0
;__Lib_Lcd.c,79 :: 		
0x0128	0x00E991B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x012C	0x7FBE    	CBR        R27, 1
0x012E	0x00E993B0  	STS        __Lib_Lcd_cmd_status+0, R27
;__Lib_Lcd.c,80 :: 		
0x0132	0x2C24    	MOV        R2, R4
0x0134	0xD06C    	RCALL      _Lcd_Cmd+0
;__Lib_Lcd.c,81 :: 		
0x0136	0x00E991B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x013A	0x60B1    	SBR        R27, 1
0x013C	0x00E993B0  	STS        __Lib_Lcd_cmd_status+0, R27
;__Lib_Lcd.c,82 :: 		
L_end_Lcd_Chr:
0x0140	0x902F    	POP        R2
0x0142	0x9508    	RET
; end of _Lcd_Chr
___CC2DW:
;__Lib_System.c,25 :: 		
;__Lib_System.c,27 :: 		
L_loopDW:
;__Lib_System.c,28 :: 		
0x0176	0x9005    	LPM        R0, Z+
;__Lib_System.c,29 :: 		
0x0178	0x920D    	ST         X+, R0
;__Lib_System.c,30 :: 		
0x017A	0x9701    	SBIW       R24, 1
;__Lib_System.c,31 :: 		
0x017C	0xF7E1    	BRNE       L_loopDW
;__Lib_System.c,33 :: 		
L_end___CC2DW:
0x017E	0x9508    	RET
; end of ___CC2DW
__Lib_Conversions____ag:
L_end___Lib_Conversions___ag:
0x0174	0x9508    	RET
; end of __Lib_Conversions____ag
0x09D2	0xE6A0    	LDI        R26, 96
0x09D4	0xE0B0    	LDI        R27, 0
0x09D6	0xE5E0    	LDI        R30, 80
0x09D8	0xE0F9    	LDI        R31, 9
0x09DA	0xE881    	LDI        R24, 129
0x09DC	0xE090    	LDI        R25, 0
0x09DE	0x00BB940E  	CALL       ___CC2DW
0x09E2	0x9508    	RET
_Timer0_COMP_Interrupt:
0x07E4	0x930F    	PUSH       R16
0x07E6	0x931F    	PUSH       R17
0x07E8	0x93EF    	PUSH       R30
0x07EA	0x93FF    	PUSH       R31
0x07EC	0x93BF    	PUSH       R27
0x07EE	0xB7BF    	IN         R27, SREG+0
0x07F0	0x93BF    	PUSH       R27
;remote.c,90 :: 		void Timer0_COMP_Interrupt() iv IVT_ADDR_TIMER0_COMP
;remote.c,92 :: 		Time++;
0x07F2	0x00929100  	LDS        R16, _Time+0
0x07F6	0x00939110  	LDS        R17, _Time+1
0x07FA	0x5F0F    	SUBI       R16, 255
0x07FC	0x4F1F    	SBCI       R17, 255
0x07FE	0x00929300  	STS        _Time+0, R16
0x0802	0x00939310  	STS        _Time+1, R17
;remote.c,93 :: 		}
L_end_Timer0_COMP_Interrupt:
0x0806	0x91BF    	POP        R27
0x0808	0xBFBF    	OUT        SREG+0, R27
0x080A	0x91BF    	POP        R27
0x080C	0x91FF    	POP        R31
0x080E	0x91EF    	POP        R30
0x0810	0x911F    	POP        R17
0x0812	0x910F    	POP        R16
0x0814	0x9518    	RETI
; end of _Timer0_COMP_Interrupt
_Ext_Interrupt:
0x054E	0x930F    	PUSH       R16
0x0550	0x931F    	PUSH       R17
0x0552	0x932F    	PUSH       R18
0x0554	0x933F    	PUSH       R19
0x0556	0x93EF    	PUSH       R30
0x0558	0x93FF    	PUSH       R31
0x055A	0x93BF    	PUSH       R27
0x055C	0xB7BF    	IN         R27, SREG+0
0x055E	0x93BF    	PUSH       R27
;remote.c,94 :: 		void Ext_Interrupt() iv IVT_ADDR_INT0
;remote.c,96 :: 		GICR&=(~(1<<INT0));        //Disable INT0
0x0560	0xB7BB    	IN         R27, GICR+0
0x0562	0x7BBF    	CBR        R27, 64
0x0564	0xBFBB    	OUT        GICR+0, R27
;remote.c,97 :: 		SREG_I_bit = 1;
0x0566	0xB7BF    	IN         R27, SREG_I_bit+0
0x0568	0x68B0    	SBR        R27, 128
0x056A	0xBFBF    	OUT        SREG_I_bit+0, R27
;remote.c,99 :: 		TempTime = Time;
0x056C	0x00929100  	LDS        R16, _Time+0
0x0570	0x00939110  	LDS        R17, _Time+1
0x0574	0x00E79300  	STS        _TempTime+0, R16
0x0578	0x00E89310  	STS        _TempTime+1, R17
;remote.c,100 :: 		Time=0;
0x057C	0xE0B0    	LDI        R27, 0
0x057E	0x009293B0  	STS        _Time+0, R27
0x0582	0x009393B0  	STS        _Time+1, R27
;remote.c,101 :: 		TCNT0=0;
0x0586	0xE0B0    	LDI        R27, 0
0x0588	0xBFB2    	OUT        TCNT0+0, R27
;remote.c,102 :: 		switch(State)
0x058A	0xC10C    	RJMP       L_Ext_Interrupt0
;remote.c,104 :: 		case IR_HIGH:
L_Ext_Interrupt2:
;remote.c,106 :: 		if(Edge)
0x058C	0x00E19100  	LDS        R16, _Edge+0
0x0590	0x2300    	TST        R16
0x0592	0xF0F9    	BREQ       L_Ext_Interrupt3
L__Ext_Interrupt87:
;remote.c,109 :: 		if((TempTime>800) && (TempTime<990))
0x0594	0x00E79120  	LDS        R18, _TempTime+0
0x0598	0x00E89130  	LDS        R19, _TempTime+1
0x059C	0xE200    	LDI        R16, 32
0x059E	0xE013    	LDI        R17, 3
0x05A0	0x1702    	CP         R16, R18
0x05A2	0x0713    	CPC        R17, R19
0x05A4	0xF4A8    	BRSH       L__Ext_Interrupt74
L__Ext_Interrupt88:
0x05A6	0x00E79100  	LDS        R16, _TempTime+0
0x05AA	0x00E89110  	LDS        R17, _TempTime+1
0x05AE	0x3013    	CPI        R17, 3
0x05B0	0xF409    	BRNE       L__Ext_Interrupt89
0x05B2	0x3D0E    	CPI        R16, 222
L__Ext_Interrupt89:
0x05B4	0xF468    	BRSH       L__Ext_Interrupt73
L__Ext_Interrupt90:
L__Ext_Interrupt72:
;remote.c,112 :: 		State=IR_LOW;
0x05B6	0xE0B1    	LDI        R27, 1
0x05B8	0x00E693B0  	STS        _State+0, R27
;remote.c,114 :: 		MCUCR&=(~((1<<ISC01)|(1<<ISC00)));
0x05BC	0xB705    	IN         R16, MCUCR+0
0x05BE	0x7F0C    	ANDI       R16, 252
0x05C0	0xBF05    	OUT        MCUCR+0, R16
;remote.c,115 :: 		MCUCR|=(1<<ISC01);
0x05C2	0xB705    	IN         R16, MCUCR+0
0x05C4	0x6002    	ORI        R16, 2
0x05C6	0xBF05    	OUT        MCUCR+0, R16
;remote.c,116 :: 		Edge=0;
0x05C8	0xE0B0    	LDI        R27, 0
0x05CA	0x00E193B0  	STS        _Edge+0, R27
;remote.c,117 :: 		}
0x05CE	0xC000    	RJMP       L_Ext_Interrupt7
;remote.c,109 :: 		if((TempTime>800) && (TempTime<990))
L__Ext_Interrupt74:
L__Ext_Interrupt73:
;remote.c,125 :: 		}
L_Ext_Interrupt7:
;remote.c,126 :: 		}
0x05D0	0xC006    	RJMP       L_Ext_Interrupt8
L_Ext_Interrupt3:
;remote.c,130 :: 		MCUCR|=((1<<ISC01)|(1<<ISC00));        //Set INT on Rising Edge
0x05D2	0xB705    	IN         R16, MCUCR+0
0x05D4	0x6003    	ORI        R16, 3
0x05D6	0xBF05    	OUT        MCUCR+0, R16
;remote.c,131 :: 		Edge=1;
0x05D8	0xE0B1    	LDI        R27, 1
0x05DA	0x00E193B0  	STS        _Edge+0, R27
;remote.c,132 :: 		}
L_Ext_Interrupt8:
;remote.c,133 :: 		break;
0x05DE	0xC0F5    	RJMP       L_Ext_Interrupt1
;remote.c,135 :: 		case IR_LOW:
L_Ext_Interrupt9:
;remote.c,137 :: 		if((TempTime>400) && (TempTime<500))
0x05E0	0x00E79120  	LDS        R18, _TempTime+0
0x05E4	0x00E89130  	LDS        R19, _TempTime+1
0x05E8	0xE900    	LDI        R16, 144
0x05EA	0xE011    	LDI        R17, 1
0x05EC	0x1702    	CP         R16, R18
0x05EE	0x0713    	CPC        R17, R19
0x05F0	0xF4C0    	BRSH       L__Ext_Interrupt76
L__Ext_Interrupt91:
0x05F2	0x00E79100  	LDS        R16, _TempTime+0
0x05F6	0x00E89110  	LDS        R17, _TempTime+1
0x05FA	0x3011    	CPI        R17, 1
0x05FC	0xF409    	BRNE       L__Ext_Interrupt92
0x05FE	0x3F04    	CPI        R16, 244
L__Ext_Interrupt92:
0x0600	0xF480    	BRSH       L__Ext_Interrupt75
L__Ext_Interrupt93:
L__Ext_Interrupt71:
;remote.c,140 :: 		State=IR_RECEIVE_BITS;
0x0602	0xE0B3    	LDI        R27, 3
0x0604	0x00E693B0  	STS        _State+0, R27
;remote.c,141 :: 		BitNo=0;
0x0608	0xE0B0    	LDI        R27, 0
0x060A	0x00EB93B0  	STS        _BitNo+0, R27
;remote.c,142 :: 		ByteNo=0;
0x060E	0xE0B0    	LDI        R27, 0
0x0610	0x00EA93B0  	STS        _ByteNo+0, R27
;remote.c,143 :: 		MCUCR|=((1<<ISC01)|(1<<ISC00));        //Set INT on Rising Edge
0x0614	0xB705    	IN         R16, MCUCR+0
0x0616	0x6003    	ORI        R16, 3
0x0618	0xBF05    	OUT        MCUCR+0, R16
;remote.c,144 :: 		Edge=1;
0x061A	0xE0B1    	LDI        R27, 1
0x061C	0x00E193B0  	STS        _Edge+0, R27
;remote.c,146 :: 		}
0x0620	0xC012    	RJMP       L_Ext_Interrupt13
;remote.c,137 :: 		if((TempTime>400) && (TempTime<500))
L__Ext_Interrupt76:
L__Ext_Interrupt75:
;remote.c,147 :: 		else if((TempTime>200) && (TempTime<245))
0x0622	0x00E79120  	LDS        R18, _TempTime+0
0x0626	0x00E89130  	LDS        R19, _TempTime+1
0x062A	0xEC08    	LDI        R16, 200
0x062C	0xE010    	LDI        R17, 0
0x062E	0x1702    	CP         R16, R18
0x0630	0x0713    	CPC        R17, R19
0x0632	0xF448    	BRSH       L__Ext_Interrupt78
L__Ext_Interrupt94:
0x0634	0x00E79100  	LDS        R16, _TempTime+0
0x0638	0x00E89110  	LDS        R17, _TempTime+1
0x063C	0x3010    	CPI        R17, 0
0x063E	0xF409    	BRNE       L__Ext_Interrupt95
0x0640	0x3F05    	CPI        R16, 245
L__Ext_Interrupt95:
0x0642	0xF408    	BRSH       L__Ext_Interrupt77
L__Ext_Interrupt96:
L__Ext_Interrupt70:
;remote.c,150 :: 		}
0x0644	0xC000    	RJMP       L_Ext_Interrupt17
;remote.c,147 :: 		else if((TempTime>200) && (TempTime<245))
L__Ext_Interrupt78:
L__Ext_Interrupt77:
;remote.c,158 :: 		}
L_Ext_Interrupt17:
L_Ext_Interrupt13:
;remote.c,159 :: 		break;
0x0646	0xC0C1    	RJMP       L_Ext_Interrupt1
;remote.c,161 :: 		case IR_RECEIVE_BITS:
